record_id,domain,language,original_text,clean_text,cluster_id,cluster_prob,cluster_id_final,component,failure_type,symptom,description,x_2d,y_2d
C00001,unknown,en,Burmester audio system has static on the right rear speaker. €4000 option btw. Cool cool cool.,Burmester audio system has static on the right rear speaker. €4000 option btw. Cool cool cool.,3,1.0,3,burmester audio,static,Burmester audio system has static on the right rear speaker.,burmester audio - static,-5.2646976,-2.130518
C00002,unknown,en,Power window on driver side decides whether to work each morning. It's like a coin flip. A €600 coin flip when it dies fully.,Power window on driver side decides whether to work each morning. It's like a coin flip. A €600 coin flip when it dies fully.,3,1.0,3,power window,,,power window - issue reported,-4.5697722,-2.3071377
C00003,unknown,es,La cámara de marcha atrás se ve negra cuando llueve. Justo cuando la necesito. Magnífico.,La cámara de marcha atrás se ve negra cuando llueve. Justo cuando la necesito. Magnífico.,3,1.0,3,,,,,-6.0710516,-2.7790003
C00004,unknown,pl,No serio?? Kupiłem nowego Mercedesa i bluetooth się rozłącza co minutę. Słabo to wygląda.,No serio?? Kupiłem nowego Mercedesa i bluetooth się rozłącza co minutę. Słabo to wygląda.,-1,0.0,-1,,,,,-5.4487715,-2.7253783
C00005,unknown,da,Sædevarmen fungerer kun nogle gange. Tilfældigt. Jeg har givet op og købt et tæppe.,Sædevarmen fungerer kun nogle gange. Tilfældigt. Jeg har givet op og købt et tæppe.,3,1.0,3,,,,,-5.4387007,-1.9759259
C00006,unknown,pl,"Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??","Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??",3,1.0,3,,,,,-5.91662,-2.3806686
C00007,unknown,en,Frustrated beyond words. Backup camera shows a black screen every time it rains. So basically useless when I actually need it.,Frustrated beyond words. Backup camera shows a black screen every time it rains. So basically useless when I actually need it.,-1,0.0,-1,backup camera,black screen,Backup camera shows a black screen every time it rains.,backup camera - black screen,-5.3134212,-2.4693623
C00008,unknown,es,La calefacción del asiento solo funciona el lunes (broma). En realidad funciona aleatoriamente.,La calefacción del asiento solo funciona el lunes (broma). En realidad funciona aleatoriamente.,3,1.0,3,,,,,-5.732063,-3.1065743
C00009,unknown,fr,La caméra de recul est noire dès qu'il pleut. Donc inutile 6 mois par an en France. Bravo.,La caméra de recul est noire dès qu'il pleut. Donc inutile 6 mois par an en France. Bravo.,3,1.0,3,,,,,-5.9695377,-2.9299777
C00010,unknown,en,"I just want to vent — climate control blows ice cold on driver side and SAUNA on passenger side. Three visits, no fix. I'm done.","I just want to vent — climate control blows ice cold on driver side and SAUNA on passenger side. Three visits, no fix. I'm done.",3,1.0,3,climate control,,,climate control - issue reported,-4.7968125,-2.5307212
C00011,unknown,de,"Mein Händler sagt 'das ist normal'. Sorry aber NEIN, das ist NICHT normal wenn der Bildschirm 3x am Tag abstürzt.","Mein Händler sagt 'das ist normal'. Sorry aber NEIN, das ist NICHT normal wenn der Bildschirm 3x am Tag abstürzt.",2,0.6951572061538686,2,,,,,-4.1896424,-5.4148088
C00012,unknown,it,Il filtro dell'aria puzza di muffa anche dopo la sostituzione. Ma scherziamo?,Il filtro dell'aria puzza di muffa anche dopo la sostituzione. Ma scherziamo?,3,1.0,3,,,,,-6.1887054,-2.63524
C00013,unknown,en,"I'm SO over this. Driver seat heater stopped working AGAIN, third time in 6 months. What am I even paying for??","I'm SO over this. Driver seat heater stopped working AGAIN, third time in 6 months. What am I even paying for??",3,1.0,3,driver seat,,,driver seat - issue reported,-4.3185964,-2.8718872
C00014,unknown,da,Helt ærligt jeg er træt af det her. MBUX skærmen fryser hver gang jeg bruger Apple CarPlay. Hvad sker der?,Helt ærligt jeg er træt af det her. MBUX skærmen fryser hver gang jeg bruger Apple CarPlay. Hvad sker der?,3,1.0,3,mbux,,,mbux - issue reported,-2.7514584,-4.779167
C00015,unknown,tr,"Yağ kokusu motordan geliyor, üç kez serviste hala çözüm yok. Pes.","Yağ kokusu motordan geliyor, üç kez serviste hala çözüm yok. Pes.",3,1.0,3,,,,,-5.741759,-2.3324869
C00016,unknown,tr,Hey Mercedes Türkçe anlamıyor zaten ama İngilizce de anlamıyor. Komik.,Hey Mercedes Türkçe anlamıyor zaten ama İngilizce de anlamıyor. Komik.,0,1.0,0,hey mercedes,,,hey mercedes - issue reported,-3.9994786,-3.9794023
C00017,unknown,en,Thought I was crazy but 3 friends with the same model said the same thing. MBUX freezes during navigation. You guys know about this right??,Thought I was crazy but 3 friends with the same model said the same thing. MBUX freezes during navigation. You guys know about this right??,3,1.0,3,mbux,freezes,MBUX freezes during navigation.,mbux - freezes,-5.2701216,-5.050145
C00019,unknown,nl,Mijn nieuwe E 450 en het bekertje is al gebarsten. Echt een grap.,Mijn nieuwe E 450 en het bekertje is al gebarsten. Echt een grap.,3,1.0,3,,,,,-4.9551187,-3.480116
C00020,unknown,en,"Coolant leaking under the engine bay, sweet smell, pretty sure it's the radiator. 38k km on a 2023 car. Not impressed.","Coolant leaking under the engine bay, sweet smell, pretty sure it's the radiator. 38k km on a 2023 car. Not impressed.",1,0.8503075851734354,1,engine,leaking,"Coolant leaking under the engine bay, sweet smell, pretty sure it's the radiator.",engine - leaking,-2.4710784,-3.1013288
C00021,unknown,en,"MBUX bricked itself after the OTA update last week. Yes, BRICKED. Beautiful 12 inch black screen now.","MBUX bricked itself after the OTA update last week. Yes, BRICKED. Beautiful 12 inch black screen now.",3,1.0,3,mbux,black screen,Beautiful 12 inch black screen now.,mbux - black screen,-5.399579,-5.599195
C00022,unknown,de,Ich weine fast wenn ich an die Reichweite denke. Im Winter -32%. Hätte einen Tesla nehmen sollen ehrlich.,Ich weine fast wenn ich an die Reichweite denke. Im Winter -32%. Hätte einen Tesla nehmen sollen ehrlich.,2,0.7849135130046118,2,,,,,-3.4556556,-6.1886353
C00023,unknown,da,12V batteriet er dødt for tredje gang. På to år. Jeg er færdig med Mercedes.,12V batteriet er dødt for tredje gang. På to år. Jeg er færdig med Mercedes.,3,1.0,3,,,,,-3.6660235,-4.22157
C00024,unknown,en,Genuinely scared to drive on the autobahn now. The 9G transmission shifts so hard sometimes it feels like I got rear-ended.,Genuinely scared to drive on the autobahn now. The 9G transmission shifts so hard sometimes it feels like I got rear-ended.,3,1.0,3,transmission,,,transmission - issue reported,-3.922038,-1.8860193
C00025,unknown,en,Apple CarPlay disconnects every. single. time. I get on the highway. WHY does this keep happening,Apple CarPlay disconnects every. single. time. I get on the highway. WHY does this keep happening,3,1.0,3,apple carplay,disconnects,Apple CarPlay disconnects every.,apple carplay - disconnects,-2.284123,-4.7797422
C00026,unknown,fr,"Mon turbo siffle comme un train, j'en peux plus. Trois passages au garage, zéro résultat.","Mon turbo siffle comme un train, j'en peux plus. Trois passages au garage, zéro résultat.",3,1.0,3,,,,,-5.358617,-3.8732924
C00028,unknown,en,Stuck on the side of the road because my 12V battery just... died. In a 2024 E 450. Make it make sense.,Stuck on the side of the road because my 12V battery just. died. In a 2024 E 450. Make it make sense.,3,1.0,3,12v battery,stuck,Stuck on the side of the road because my 12V battery just.,12v battery - stuck,-3.7926126,-3.260091
C00031,unknown,tr,"Direksiyon ısıtması çalışmıyor, servis 'normal' diyor. Hangi normalde?","Direksiyon ısıtması çalışmıyor, servis 'normal' diyor. Hangi normalde?",-1,0.0,-1,,,,,-4.658131,-4.73392
C00033,unknown,it,"Allora ragazzi, la mia S 580 gira solo aria fredda dal lato passeggero. Pagato 70k per questo??","Allora ragazzi, la mia S 580 gira solo aria fredda dal lato passeggero. Pagato 70k per questo??",3,1.0,3,,,,,-6.59523,-3.4143767
C00034,unknown,fr,"Mon concessionnaire me prend pour une idiote. 'Madame, c'est normal' — NON, monsieur, ce n'est PAS normal.","Mon concessionnaire me prend pour une idiote. 'Madame, c'est normal' — NON, monsieur, ce n'est PAS normal.",-1,0.0,-1,,,,,-5.0440536,-4.5457544
C00035,unknown,en,Ambient lighting flickers like a cheap nightclub. At night. While driving. Disorienting and honestly dangerous.,Ambient lighting flickers like a cheap nightclub. At night. While driving. Disorienting and honestly dangerous.,-1,0.0,-1,ambient lighting,,,ambient lighting - issue reported,-3.1852663,-2.1970692
C00036,unknown,it,Tre visite per la stessa perdita di liquido refrigerante. Sempre 'non riscontrato'. Sono sfinito.,Tre visite per la stessa perdita di liquido refrigerante. Sempre 'non riscontrato'. Sono sfinito.,3,1.0,3,,,,,-6.0410295,-3.4448113
C00037,unknown,en,My wife is afraid to ride with me anymore. The engine misfires randomly and the check engine light has been on since week 2.,My wife is afraid to ride with me anymore. The engine misfires randomly and the check engine light has been on since week 2.,1,1.0,1,engine,check engine,The engine misfires randomly and the check engine light has been on since week 2.,engine - check engine,-2.3798242,-3.3705733
C00038,unknown,de,MBUX-Update hat das Kombiinstrument zerschossen. Ich fahre jetzt ohne Tacho. Toll.,MBUX-Update hat das Kombiinstrument zerschossen. Ich fahre jetzt ohne Tacho. Toll.,2,0.6652832385696673,2,mbux,,,mbux - issue reported,-4.5580087,-5.906436
C00039,unknown,de,"Der Kühlmittelverlust macht mich wahnsinnig. Süßer Geruch, Pfütze unter dem Auto, und keiner findet was.","Der Kühlmittelverlust macht mich wahnsinnig. Süßer Geruch, Pfütze unter dem Auto, und keiner findet was.",2,1.0,2,,,,,-3.7551184,-5.1804357
C00043,unknown,en,Okay so the sunroof refuses to close in cold weather. So if I park outside in winter... fun times!,Okay so the sunroof refuses to close in cold weather. So if I park outside in winter. fun times!,1,0.9422233368820974,1,sunroof,,,sunroof - issue reported,-3.0023751,-3.3670228
C00044,unknown,de,Hey Mercedes versteht KEIN Wort von mir. Mein Hund hört besser zu. Echt jetzt.,Hey Mercedes versteht KEIN Wort von mir. Mein Hund hört besser zu. Echt jetzt.,0,1.0,0,hey mercedes,,,hey mercedes - issue reported,-4.1255283,-4.4060297
C00047,unknown,en,"Heads-up display flickers in direct sunlight which, if I may, IS WHEN I MOST NEED IT.","Heads-up display flickers in direct sunlight which, if I may, IS WHEN I MOST NEED IT.",-1,0.0,-1,,,,,-3.6287115,-2.1069496
C00049,unknown,pl,Kamera cofania pokazuje czarny ekran w deszczu. Czyli wtedy gdy najbardziej potrzebna.,Kamera cofania pokazuje czarny ekran w deszczu. Czyli wtedy gdy najbardziej potrzebna.,3,1.0,3,,,,,-5.6705365,-2.546281
C00052,unknown,fr,Apple CarPlay se déconnecte toutes les 3 minutes. C'est devenu un sport quotidien.,Apple CarPlay se déconnecte toutes les 3 minutes. C'est devenu un sport quotidien.,3,1.0,3,apple carplay,,,apple carplay - issue reported,-2.139247,-4.962472
C00054,unknown,es,"El turbo silba como una tetera al hervir. Tres talleres, ningún diagnóstico. Resignado.","El turbo silba como una tetera al hervir. Tres talleres, ningún diagnóstico. Resignado.",3,0.8626888456862527,3,,,,,-5.118692,-3.6090596
C00056,unknown,it,Lo schermo MBUX si blocca durante la navigazione e devo fermarmi a riavviare. Vergogna.,Lo schermo MBUX si blocca durante la navigazione e devo fermarmi a riavviare. Vergogna.,3,1.0,3,mbux,,,mbux - issue reported,-5.7096796,-4.6189833
C00057,unknown,es,El asistente Hey Mercedes no entiende nada de lo que digo. Cero útil. Cero.,El asistente Hey Mercedes no entiende nada de lo que digo. Cero útil. Cero.,0,1.0,0,hey mercedes,,,hey mercedes - issue reported,-4.3627872,-3.9331546
C00059,unknown,en,"Cup holder cracked. Yeah, the cup holder. €60k car and the cup holder cracked. Living the dream.","Cup holder cracked. Yeah, the cup holder. €60k car and the cup holder cracked. Living the dream.",1,1.0,1,cup holder,cracked,Cup holder cracked.,cup holder - cracked,-2.6818817,-2.7010882
C00061,unknown,tr,Geri vites kamerası karanlıkta hiçbir şey göstermiyor. Tehlikeli bence.,Geri vites kamerası karanlıkta hiçbir şey göstermiyor. Tehlikeli bence.,3,1.0,3,,,,,-5.8596144,-2.058835
C00062,unknown,en,Steering wheel heater warms only the bottom half of the rim. So my palms freeze. Engineering at its finest!,Steering wheel heater warms only the bottom half of the rim. So my palms freeze. Engineering at its finest!,1,0.6762162016435456,1,steering wheel heater,freeze,So my palms freeze.,steering wheel heater - freeze,-3.894303,-3.1153712
C00063,unknown,da,Min splinternye C 200 og bakkameraet virker ikke i regnvejr. SERIØST?,Min splinternye C 200 og bakkameraet virker ikke i regnvejr. SERIØST?,0,1.0,0,,,,,-4.5518985,-3.148681
C00064,unknown,en,"Dome light won't turn off after locking the car, drained the battery twice. I now sleep with one eye on my driveway.","Dome light won't turn off after locking the car, drained the battery twice. I now sleep with one eye on my driveway.",1,1.0,1,dome light,,,dome light - issue reported,-2.5737042,-3.2657645
C00067,unknown,en,Please please please tell me what to do. Hey Mercedes literally never understands a single word I say. I just feel stupid talking to my car.,Please please please tell me what to do. Hey Mercedes literally never understands a single word I say. I just feel stupid talking to my car.,0,1.0,0,hey mercedes,,,hey mercedes - issue reported,-3.5563085,-3.8361142
C00068,unknown,en,I literally cried when the EV battery range dropped 28% over one winter. I traded in my BMW for THIS?,I literally cried when the EV battery range dropped 28% over one winter. I traded in my BMW for THIS?,1,1.0,1,ev battery,,,ev battery - issue reported,-2.9878705,-3.7803843
C00069,unknown,tr,"Yav arkadaşlar bu ne ya, MBUX ekranı sürekli donuyor. 2 milyonluk araba bu!","Yav arkadaşlar bu ne ya, MBUX ekranı sürekli donuyor. 2 milyonluk araba bu!",3,1.0,3,mbux,,,mbux - issue reported,-5.15349,-5.4198856
C00070,unknown,de,Lenkradheizung wärmt nur unten. Meine Daumen frieren weiterhin tapfer mit.,Lenkradheizung wärmt nur unten. Meine Daumen frieren weiterhin tapfer mit.,-1,0.0,-1,,,,,-3.4251752,-4.808045
C00072,unknown,de,Ich liebe meinen Benz aber das ist langsam echt eine Frechheit. Sitzheizung geht alle 2 Wochen kaputt.,Ich liebe meinen Benz aber das ist langsam echt eine Frechheit. Sitzheizung geht alle 2 Wochen kaputt.,2,1.0,2,,,,,-3.5707047,-6.0039463
C00073,unknown,de,Komme gerade aus der Werkstatt. ZUM DRITTEN MAL wegen AdBlue. Das geht mir mittlerweile richtig auf den Geist.,Komme gerade aus der Werkstatt. ZUM DRITTEN MAL wegen AdBlue. Das geht mir mittlerweile richtig auf den Geist.,2,1.0,2,,,,,-3.7433867,-5.4737406
C00074,unknown,tr,"Apple CarPlay her 5 dakikada bağlantıyı kesiyor, çıldıracağım resmen!","Apple CarPlay her 5 dakikada bağlantıyı kesiyor, çıldıracağım resmen!",3,1.0,3,apple carplay,,,apple carplay - issue reported,-2.1175163,-4.994751
C00075,unknown,en,"DPF regen fails repeatedly, warning light, then service mode. Lost a whole afternoon of work because of this.","DPF regen fails repeatedly, warning light, then service mode. Lost a whole afternoon of work because of this.",1,1.0,1,,warning light,"DPF regen fails repeatedly, warning light, then service mode.",unidentified component - warning light,-2.233654,-2.8906057
C00078,unknown,de,"Apple CarPlay trennt sich alle 5 Minuten. Das ist nicht mehr lustig, das ist ein Witz.","Apple CarPlay trennt sich alle 5 Minuten. Das ist nicht mehr lustig, das ist ein Witz.",2,0.8921035361645112,2,apple carplay,,,apple carplay - issue reported,-2.987729,-5.5627246
C00080,unknown,pl,Akumulator 12V padł trzeci raz. Trzeci. W aucie z 2024 roku. Niesamowite.,Akumulator 12V padł trzeci raz. Trzeci. W aucie z 2024 roku. Niesamowite.,-1,0.0,-1,,,,,-3.6201096,-2.9803143
C00082,unknown,en,Bluetooth pairing drops EVERY restart. So every morning I get to manually re-pair my phone. Riveting.,Bluetooth pairing drops EVERY restart. So every morning I get to manually re-pair my phone. Riveting.,-1,0.0,-1,,restart,Bluetooth pairing drops EVERY restart.,unidentified component - restart,-4.2244544,-2.116523
C00084,unknown,de,Ehrlich gesagt nur noch genervt. Der Turbolader pfeift wie verrückt seit 30.000 km. Hilfe?,Ehrlich gesagt nur noch genervt. Der Turbolader pfeift wie verrückt seit 30.000 km. Hilfe?,2,0.7552414692649999,2,,,,,-3.3167672,-5.1242247
C00087,unknown,de,Garantie eine Woche abgelaufen. Getriebe kaputt. Kostenvoranschlag 6.800 €. Ich kotze.,Garantie eine Woche abgelaufen. Getriebe kaputt. Kostenvoranschlag 6.800 €. Ich kotze.,2,1.0,2,,,,,-3.245317,-6.2804995
C00091,unknown,en,The wireless charger overheats my phone to the point I can't touch it. Genuinely worried it'll start a fire.,The wireless charger overheats my phone to the point I can't touch it. Genuinely worried it'll start a fire.,-1,0.0,-1,wireless charger,,,wireless charger - issue reported,-3.9044504,-1.7309309
C00094,unknown,en,Glove box latch broke. Sounds minor — until your insurance papers are flying around the cabin every time you brake.,Glove box latch broke. Sounds minor — until your insurance papers are flying around the cabin every time you brake.,1,0.9233629717519222,1,glove box,,,glove box - issue reported,-3.210846,-2.6603503
C00098,unknown,de,Ambiente-Beleuchtung flackert wie eine kaputte Discokugel. Schämen Sie sich nicht?,Ambiente-Beleuchtung flackert wie eine kaputte Discokugel. Schämen Sie sich nicht?,2,0.8088219210501442,2,,,,,-3.0913372,-5.770192
C00104,unknown,da,Hey Mercedes forstår ikke et ord. Hvorfor sælger I det her som en feature?,Hey Mercedes forstår ikke et ord. Hvorfor sælger I det her som en feature?,0,1.0,0,hey mercedes,,,hey mercedes - issue reported,-4.346872,-3.7087855
C00107,unknown,it,"Allora ragazzi, la mia C 300 gira solo aria fredda dal lato passeggero. Pagato 70k per questo??","Allora ragazzi, la mia C 300 gira solo aria fredda dal lato passeggero. Pagato 70k per questo??",3,1.0,3,,,,,-6.4063005,-3.5847454
C00110,unknown,it,"Apple CarPlay si scollega ogni 2 minuti, sto impazzendo davvero.","Apple CarPlay si scollega ogni 2 minuti, sto impazzendo davvero.",3,1.0,3,apple carplay,,,apple carplay - issue reported,-1.9108721,-5.215861
C00112,unknown,en,"Cabin smells like burning plastic on cold starts. Three trips to dealer, three 'no fault found'. Yeah okay.","Cabin smells like burning plastic on cold starts. Three trips to dealer, three 'no fault found'. Yeah okay.",1,1.0,1,,,,,-3.0618472,-2.9080877
C00117,unknown,es,En serio? Mi GLE 450 nuevo y la pantalla MBUX se congela todos los días. Estoy harto.,En serio? Mi <PLATE> nuevo y la pantalla MBUX se congela todos los días. Estoy harto.,3,1.0,3,mbux,,,mbux - issue reported,-5.8145885,-4.0004425
C00120,unknown,en,"Door panel rattles louder than the music. €70k car, sounds like a Lada from 1989.","Door panel rattles louder than the music. €70k car, sounds like a Lada from 1989.",1,1.0,1,door panel,,,door panel - issue reported,-3.145619,-2.5347288
C00123,unknown,pl,"MBUX zawiesza się podczas nawigacji, muszę zatrzymywać auto żeby zrestartować. Genialne.","MBUX zawiesza się podczas nawigacji, muszę zatrzymywać auto żeby zrestartować. Genialne.",-1,0.0,-1,mbux,,,mbux - issue reported,-4.88099,-5.286321
C00129,unknown,en,Mirror auto-dim doesn't work. Headlights from the car behind blind me every night. I dread night driving now.,Mirror auto-dim doesn't work. Headlights from the car behind blind me every night. I dread night driving now.,1,0.6539517118902933,1,mirror,dim,Mirror auto-dim doesn't work.,mirror - dim,-2.7172275,-2.2399135
C00131,unknown,en,I'm 6 months out of warranty. Failed turbo. €4200 quote. Tell me again why I bought premium?,I'm 6 months out of warranty. Failed turbo. €4200 quote. Tell me again why I bought premium?,3,0.8626888456862527,3,,,,,-5.077316,-4.052143
C00132,unknown,de,"Klimaanlage bläst kalt links, warm rechts. Drei Werkstattbesuche, kein Erfolg. Ich resigniere.","Klimaanlage bläst kalt links, warm rechts. Drei Werkstattbesuche, kein Erfolg. Ich resigniere.",2,0.9145163633908965,2,,,,,-3.6006517,-6.343834
C00135,unknown,en,"Look, I love my Mercedes but this turbo whine is driving me crazy. Please tell me this isn't normal.","Look, I love my Mercedes but this turbo whine is driving me crazy. Please tell me this isn't normal.",-1,0.0,-1,,,,,-4.7739596,-4.259767
C00142,unknown,nl,"Apple CarPlay verbreekt elke 5 minuten. Dit is geen luxewagen, dit is hoofdpijn.","Apple CarPlay verbreekt elke 5 minuten. Dit is geen luxewagen, dit is hoofdpijn.",3,1.0,3,apple carplay,,,apple carplay - issue reported,-2.0701509,-5.204973
C00144,unknown,de,Der Becherhalter ist gebrochen. BECHERHALTER. In einem 80.000 € Auto. Ich kann nicht mehr.,Der Becherhalter ist gebrochen. BECHERHALTER. In einem 80.000 € Auto. Ich kann nicht mehr.,2,1.0,2,,,,,-3.3825653,-5.5462875
C00151,unknown,en,Honestly?? Bought my C 300 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,Honestly?? Bought my C 300 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,-1,0.0,-1,mbux,,,mbux - issue reported,-5.9136877,-5.2723947
C00163,unknown,en,Honestly?? Bought my E 450 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,Honestly?? Bought my E 450 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,-1,0.0,-1,mbux,,,mbux - issue reported,-5.8081503,-5.1577187
C00175,unknown,en,Honestly?? Bought my GLA 200 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,Honestly?? Bought my <PLATE> last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,-1,0.0,-1,mbux,,,mbux - issue reported,-5.629784,-5.3636055
C00176,unknown,it,"Allora ragazzi, la mia E 220d gira solo aria fredda dal lato passeggero. Pagato 70k per questo??","Allora ragazzi, la mia E 220d gira solo aria fredda dal lato passeggero. Pagato 70k per questo??",3,1.0,3,,,,,-6.5327315,-3.2459488
C00194,unknown,de,"Der Bildschirm friert mitten in der Navi ein und ich soll mal eben anhalten?? Mercedes bitte, das ist 2026.","Der Bildschirm friert mitten in der Navi ein und ich soll mal eben anhalten?? Mercedes bitte, das ist 2026.",2,1.0,2,,,,,-3.8454673,-5.6835456
